round_number,period_length,num_assets,num_states,asset_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent,salient_payoff
1,240,2,3,2 2,1000,TRUE,100,80,20,0.1,0.5,0.4,TRUE,FALSE
2,240,2,3,2 2,1000,FALSE,100,80,20,0.1,0.5,0.4,TRUE,FALSE
3,240,2,3,2 2,1000,FALSE,100,80,20,0.1,0.5,0.4,TRUE,FALSE
4,240,2,3,2 2,1000,FALSE,100,80,20,0.1,0.5,0.4,TRUE,FALSE
5,240,2,3,2 2,1000,FALSE,100,80,20,0.1,0.5,0.4,TRUE,FALSE
6,240,2,3,2 2,1000,FALSE,100,80,20,0.1,0.5,0.4,TRUE,FALSE
7,240,2,3,2 2,1000,FALSE,100,80,20,0.1,0.5,0.4,TRUE,FALSE
8,240,2,3,2 2,1000,FALSE,100,80,20,0.1,0.5,0.4,TRUE,FALSE
